,batsman_name,batting_order,runs_scored,balls_faced,num_fours,num_sixes,num_dots,num_out,caught,not out,leg before wicket,bowled,hit wicket,run out,stumped,retired not out (hurt),num_innings,team,average,runs_per_inning,strike_rate,impact,prop_dot,balls_per_six,balls_per_boundary,prop_run_boundary,prop_run_six
0,AB de Villiers,1.0,141.0,94,13,9,46,5.0,0.333333333333,0.166666666667,0.0,0.5,0.0,0.0,0.0,0.0,6,South Africa,28.2,23.5,150.0,3525.0,48.9361702128,10.4444444444,4.27272727273,75.1773049645,38.2978723404
1,AB de Villiers,2.0,98.0,80,13,1,34,5.0,0.666666666667,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,3,South Africa,19.6,32.6666666667,122.5,4001.66666667,42.5,80.0,5.71428571429,59.1836734694,6.12244897959
2,AB de Villiers,3.0,291.0,237,36,6,107,14.0,0.5625,0.125,0.0625,0.1875,0.0625,0.0,0.0,0.0,16,South Africa,20.7857142857,18.1875,122.784810127,2233.14873418,45.1476793249,39.5,5.64285714286,61.8556701031,12.3711340206
3,AB de Villiers,4.0,584.0,474,38,19,159,22.0,0.481481481481,0.222222222222,0.0,0.222222222222,0.0,0.037037037037,0.037037037037,0.0,27,South Africa,26.5454545455,21.6296296296,123.206751055,2664.91639319,33.5443037975,24.9473684211,8.31578947368,45.5479452055,19.5205479452
4,AB de Villiers,5.0,103.0,92,7,3,32,7.0,0.625,0.125,0.0,0.0,0.0,0.25,0.0,0.0,8,South Africa,14.7142857143,12.875,111.956521739,1441.44021739,34.7826086957,30.6666666667,9.2,44.6601941748,17.4757281553
5,AB de Villiers,6.0,40.0,26,4,1,5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2,South Africa,40.0,20.0,153.846153846,3076.92307692,19.2307692308,26.0,5.2,55.0,15.0
6,Aamir Kaleem,4.0,13.0,17,0,0,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Oman,6.5,13.0,76.4705882353,994.117647059,23.5294117647,inf,inf,0.0,0.0
7,Aamir Kaleem,5.0,83.0,73,8,2,28,3.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,4,Oman,27.6666666667,20.75,113.698630137,2359.24657534,38.3561643836,36.5,7.3,53.0120481928,14.4578313253
8,Aamir Kaleem,6.0,65.0,53,7,1,18,2.0,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.333333333333,0.0,3,Oman,32.5,21.6666666667,122.641509434,2657.2327044,33.9622641509,53.0,6.625,52.3076923077,9.23076923077
9,Aaqib Sulehri,2.0,31.0,37,4,0,21,3.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,3,Oman,10.3333333333,10.3333333333,83.7837837838,865.765765766,56.7567567568,inf,9.25,51.6129032258,0.0
10,Aaqib Sulehri,3.0,4.0,4,1,0,3,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2,Oman,4.0,2.0,100.0,200.0,75.0,inf,4.0,100.0,0.0
11,Aaron Finch,1.0,357.0,254,44,10,96,10.0,0.454545454545,0.0909090909091,0.181818181818,0.272727272727,0.0,0.0,0.0,0.0,11,Australia,35.7,32.4545454545,140.551181102,4561.52469578,37.7952755906,25.4,4.7037037037,66.106442577,16.8067226891
12,Aaron Finch,2.0,491.0,312,48,28,126,11.0,0.615384615385,0.153846153846,0.0769230769231,0.153846153846,0.0,0.0,0.0,0.0,13,Australia,44.6363636364,37.7692307692,157.371794872,5943.81163708,40.3846153846,11.1428571429,4.10526315789,73.3197556008,34.215885947
13,Aaron Finch,5.0,15.0,15,1,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Australia,15.0,15.0,100.0,1500.0,26.6666666667,inf,15.0,26.6666666667,0.0
14,Aaron Finch,6.0,53.0,33,4,2,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Australia,53.0,53.0,160.606060606,8512.12121212,33.3333333333,16.5,5.5,52.8301886792,22.641509434
15,Aaron Phangiso,8.0,2.0,5,0,0,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,South Africa,2.0,2.0,40.0,80.0,60.0,inf,inf,0.0,0.0
16,Aaron Redmond,2.0,110.0,69,19,1,25,3.0,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,5,New Zealand,36.6666666667,22.0,159.420289855,3507.24637681,36.231884058,69.0,3.45,74.5454545455,5.45454545455
17,Aaron Redmond,3.0,16.0,15,0,1,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,New Zealand,16.0,16.0,106.666666667,1706.66666667,40.0,15.0,15.0,37.5,37.5
18,Abdool Samad,1.0,0.0,3,0,0,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Canada,0.0,0.0,0.0,0.0,100.0,inf,inf,,
19,Abdool Samad,3.0,51.0,60,4,1,29,3.0,0.666666666667,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,3,Canada,17.0,17.0,85.0,1445.0,48.3333333333,60.0,12.0,43.137254902,11.7647058824
20,Abdool Samad,4.0,14.0,9,3,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Canada,14.0,14.0,155.555555556,2177.77777778,44.4444444444,inf,3.0,85.7142857143,0.0
21,Abdool Samad,5.0,29.0,23,2,2,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Canada,29.0,29.0,126.086956522,3656.52173913,47.8260869565,11.5,5.75,68.9655172414,41.3793103448
