,bowler_name,date,inning,opposition,runs_conceded,wickets_taken,balls_bowled,num_dots,team,year,economy_rate
0,Aamer Yamin,2015-11-30,1,England,12.0,1.0,12,7,Pakistan,14-16,6.0
1,Aamir Kaleem,2015-11-26,2,Hong Kong,20.0,0.0,12,1,Oman,14-16,10.0
2,Aamir Kaleem,2015-11-30,1,Afghanistan,11.0,0.0,6,1,Oman,14-16,11.0
3,Aamir Kaleem,2016-02-19 00:00:00,2,Hong Kong,27.0,1.0,18,2,Oman,14-16,9.0
4,Aamir Kaleem,2016-02-20 00:00:00,2,Afghanistan,21.0,0.0,18,5,Oman,14-16,7.0
5,Aamir Kaleem,2016-02-22 00:00:00,1,United Arab Emirates,36.0,4.0,24,9,Oman,14-16,9.0
6,Aaron Finch,2013-01-26,2,Sri Lanka,9.0,0.0,6,3,Australia,11-13,9.0
7,Aaron Finch,2014-03-23,1,Pakistan,18.0,0.0,6,1,Australia,14-16,18.0
8,Aaron Phangiso,2012-12-23,2,New Zealand,37.0,0.0,25,12,South Africa,11-13,8.88
9,Aaron Phangiso,2012-12-26,2,New Zealand,25.0,3.0,24,10,South Africa,11-13,6.25
10,Aaron Phangiso,2013-11-22,1,Pakistan,33.0,1.0,18,5,South Africa,11-13,11.0
11,Aaron Phangiso,2015-01-11,2,West Indies,33.0,1.0,18,6,South Africa,14-16,11.0
12,Aaron Phangiso,2015-01-14,2,West Indies,23.0,1.0,24,8,South Africa,14-16,5.75
13,Aaron Phangiso,2015-07-05,2,Bangladesh,21.0,1.0,24,13,South Africa,14-16,5.25
14,Aaron Phangiso,2015-07-07,2,Bangladesh,30.0,3.0,24,12,South Africa,14-16,7.5
15,Aaron Phangiso,2015-08-14,1,New Zealand,29.0,2.0,24,9,South Africa,14-16,7.25
16,Aaron Phangiso,2015-08-16,1,New Zealand,38.0,1.0,26,8,South Africa,14-16,8.76923076923
17,Aaron Redmond,2009-11-12,1,Pakistan,23.0,2.0,18,5,New Zealand,08-10,7.66666666667
18,Abdool Samad,2008-10-13,1,Zimbabwe,34.0,1.0,14,3,Canada,08-10,14.5714285714
19,Abdul Razzaq,2006-08-28,1,England,30.0,3.0,24,6,Pakistan,05-07,7.5
20,Abdul Razzaq,2007-02-02,2,South Africa,27.0,0.0,13,5,Pakistan,05-07,12.4615384615
21,Abdul Razzaq,2009-06-13,1,New Zealand,17.0,3.0,21,13,Pakistan,08-10,4.85714285714
22,Abdul Razzaq,2009-06-15,2,Ireland,18.0,0.0,18,8,Pakistan,08-10,6.0
23,Abdul Razzaq,2009-06-18,2,South Africa,19.0,0.0,18,9,Pakistan,08-10,6.33333333333
24,Abdul Razzaq,2009-06-21,1,Sri Lanka,20.0,3.0,18,10,Pakistan,08-10,6.66666666667
25,Abdul Razzaq,2009-11-12,2,New Zealand,9.0,2.0,18,9,Pakistan,08-10,3.0
26,Abdul Razzaq,2010-02-19,2,England,24.0,2.0,24,13,Pakistan,08-10,6.0
27,Abdul Razzaq,2010-02-20,1,England,17.0,0.0,24,13,Pakistan,08-10,4.25
28,Abdul Razzaq,2010-05-01,2,Bangladesh,22.0,0.0,13,3,Pakistan,08-10,10.1538461538
29,Abdul Razzaq,2010-05-06,2,England,22.0,1.0,18,7,Pakistan,08-10,7.33333333333
30,Abdul Razzaq,2010-05-10,2,South Africa,16.0,1.0,18,8,Pakistan,08-10,5.33333333333
31,Abdul Razzaq,2010-05-14,2,Australia,22.0,0.0,12,5,Pakistan,08-10,11.0
32,Abdul Razzaq,2010-07-05,2,Australia,15.0,1.0,12,6,Pakistan,08-10,7.5
33,Abdul Razzaq,2010-09-05,2,England,20.0,0.0,12,2,Pakistan,08-10,10.0
34,Abdul Razzaq,2010-10-26,2,South Africa,19.0,0.0,13,6,Pakistan,08-10,8.76923076923
35,Abdul Razzaq,2010-12-26,2,New Zealand,15.0,0.0,6,2,Pakistan,08-10,15.0
36,Abdul Razzaq,2010-12-28,1,New Zealand,12.0,1.0,12,8,Pakistan,08-10,6.0
37,Abdul Razzaq,2010-12-30,2,New Zealand,13.0,3.0,24,17,Pakistan,08-10,3.25
38,Abdul Razzaq,2012-09-07,2,Australia,9.0,2.0,6,2,Pakistan,11-13,9.0
39,Abdul Razzaq,2012-09-10,1,Australia,12.0,0.0,12,7,Pakistan,11-13,6.0
40,Abdul Razzaq,2013-11-15,1,South Africa,13.0,0.0,7,3,Pakistan,11-13,11.1428571429
41,Abdur Rauf,2008-10-12,1,Zimbabwe,20.0,0.0,19,13,Pakistan,08-10,6.31578947368
42,Abdur Razzak,2007-09-01,1,Kenya,22.0,2.0,24,12,Bangladesh,05-07,5.5
43,Abdur Razzak,2007-09-02,1,Pakistan,18.0,1.0,24,10,Bangladesh,05-07,4.5
44,Abdur Razzak,2007-09-13,1,West Indies,25.0,2.0,24,10,Bangladesh,05-07,6.25
