,bowler_name,year,runs_conceded,balls_bowled,wickets_taken,num_dots,num_spells,team,average,wickets_per_spell,strike_rate,economy_rate,prop_dot
0,Aamer Yamin,14-16,12.0,12,1.0,7,1,Pakistan,12.0,1.0,12.0,6.0,58.3333333333
1,Aamir Kaleem,14-16,115.0,78,5.0,18,5,Oman,23.0,1.0,15.6,8.84615384615,23.0769230769
2,Aaron Finch,11-13,9.0,6,0.0,3,1,Australia,inf,0.0,inf,9.0,50.0
3,Aaron Finch,14-16,18.0,6,0.0,1,1,Australia,inf,0.0,inf,18.0,16.6666666667
4,Aaron Phangiso,11-13,95.0,67,4.0,27,3,South Africa,23.75,1.33333333333,16.75,8.50746268657,40.2985074627
5,Aaron Phangiso,14-16,174.0,140,9.0,56,6,South Africa,19.3333333333,1.5,15.5555555556,7.45714285714,40.0
6,Aaron Redmond,08-10,23.0,18,2.0,5,1,New Zealand,11.5,2.0,9.0,7.66666666667,27.7777777778
7,Abdool Samad,08-10,34.0,14,1.0,3,1,Canada,34.0,1.0,14.0,14.5714285714,21.4285714286
8,Abdul Razzaq,05-07,57.0,37,3.0,11,2,Pakistan,19.0,1.5,12.3333333333,9.24324324324,29.7297297297
9,Abdul Razzaq,08-10,300.0,281,17.0,139,17,Pakistan,17.6470588235,1.0,16.5294117647,6.40569395018,49.4661921708
10,Abdul Razzaq,11-13,34.0,25,2.0,12,3,Pakistan,17.0,0.666666666667,12.5,8.16,48.0
11,Abdur Rauf,08-10,20.0,19,0.0,13,1,Pakistan,inf,0.0,inf,6.31578947368,68.4210526316
12,Abdur Razzak,05-07,157.0,166,11.0,75,7,Bangladesh,14.2727272727,1.57142857143,15.0909090909,5.67469879518,45.1807228916
13,Abdur Razzak,08-10,146.0,112,7.0,38,5,Bangladesh,20.8571428571,1.4,16.0,7.82142857143,33.9285714286
14,Abdur Razzak,11-13,389.0,355,21.0,169,15,Bangladesh,18.5238095238,1.4,16.9047619048,6.57464788732,47.6056338028
15,Abdur Razzak,14-16,95.0,97,6.0,46,5,Bangladesh,15.8333333333,1.2,16.1666666667,5.87628865979,47.4226804124
16,Abdur Rehman,05-07,41.0,38,2.0,18,2,Pakistan,20.5,1.0,19.0,6.47368421053,47.3684210526
17,Abdur Rehman,08-10,104.0,95,7.0,40,4,Pakistan,14.8571428571,1.75,13.5714285714,6.56842105263,42.1052631579
18,Abdur Rehman,11-13,39.0,31,3.0,16,2,Pakistan,13.0,1.5,10.3333333333,7.54838709677,51.6129032258
19,Abu Hider,14-16,70.0,51,3.0,22,2,Bangladesh,23.3333333333,1.5,17.0,8.23529411765,43.137254902
20,Abul Hasan,11-13,106.0,68,2.0,24,4,Bangladesh,53.0,0.5,34.0,9.35294117647,35.2941176471
21,Abzal Dean,08-10,18.0,12,1.0,4,1,Canada,18.0,1.0,12.0,9.0,33.3333333333
22,Abzal Dean,11-13,14.0,12,0.0,6,1,Canada,inf,0.0,inf,7.0,50.0
23,Adam Milne,08-10,91.0,50,1.0,22,2,New Zealand,91.0,0.5,50.0,10.92,44.0
