,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Sri Lanka,West Indies,48472,53115,Tillakaratne Dilshan,1,Darren Sammy,0.1,1.0,1.0,0.0,272.0,140.0,2.0,1.0,0,1,False,,
1,1,Sri Lanka,West Indies,49209,53115,Sanath Jayasuriya,2,Darren Sammy,0.2,0.0,0.0,0.0,160.0,221.0,5.0,1.0,0,2,False,,
2,1,Sri Lanka,West Indies,49209,53115,Sanath Jayasuriya,2,Darren Sammy,0.3,0.0,0.0,0.0,244.0,164.0,2.0,1.0,0,3,False,,
3,1,Sri Lanka,West Indies,49209,53115,Sanath Jayasuriya,2,Darren Sammy,0.4,1.0,1.0,0.0,217.0,196.0,3.0,2.0,0,4,False,,
4,1,Sri Lanka,West Indies,48472,53115,Tillakaratne Dilshan,1,Darren Sammy,0.5,1.0,1.0,0.0,157.0,240.0,5.0,3.0,0,5,False,,
5,1,Sri Lanka,West Indies,49209,53115,Sanath Jayasuriya,2,Darren Sammy,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,6,False,,
6,1,Sri Lanka,West Indies,48472,53191,Tillakaratne Dilshan,1,Jerome Taylor,1.1,1.0,1.0,0.0,274.0,195.0,3.0,4.0,0,7,False,,
7,1,Sri Lanka,West Indies,49209,53191,Sanath Jayasuriya,2,Jerome Taylor,1.2,0.0,0.0,0.0,169.0,199.0,5.0,4.0,0,8,False,,
8,1,Sri Lanka,West Indies,49209,53191,Sanath Jayasuriya,2,Jerome Taylor,1.3,0.0,0.0,0.0,262.0,217.0,3.0,4.0,0,9,False,,
9,1,Sri Lanka,West Indies,49209,53191,Sanath Jayasuriya,2,Jerome Taylor,1.4,1.0,1.0,0.0,210.0,176.0,3.0,5.0,0,10,False,,
10,1,Sri Lanka,West Indies,48472,53191,Tillakaratne Dilshan,1,Jerome Taylor,1.5,1.0,1.0,0.0,213.0,235.0,4.0,6.0,0,11,False,,
11,1,Sri Lanka,West Indies,49209,53191,Sanath Jayasuriya,2,Jerome Taylor,1.6,0.0,0.0,0.0,189.0,190.0,4.0,6.0,0,12,False,,
12,1,Sri Lanka,West Indies,48472,53115,Tillakaratne Dilshan,1,Darren Sammy,2.1,1.0,1.0,0.0,242.0,121.0,2.0,7.0,0,13,False,,
13,1,Sri Lanka,West Indies,49209,53115,Sanath Jayasuriya,2,Darren Sammy,2.2,4.0,4.0,0.0,82.0,327.0,5.0,11.0,0,14,False,,
14,1,Sri Lanka,West Indies,49209,53115,Sanath Jayasuriya,2,Darren Sammy,2.3,0.0,0.0,0.0,212.0,243.0,4.0,11.0,0,15,False,,
15,1,Sri Lanka,West Indies,49209,53115,Sanath Jayasuriya,2,Darren Sammy,2.4,0.0,0.0,0.0,241.0,187.0,3.0,11.0,0,16,False,,
16,1,Sri Lanka,West Indies,49209,53115,Sanath Jayasuriya,2,Darren Sammy,2.5,0.0,0.0,0.0,150.0,179.0,6.0,11.0,0,17,False,,
17,1,Sri Lanka,West Indies,49209,53115,Sanath Jayasuriya,2,Darren Sammy,2.6,1.0,1.0,0.0,239.0,176.0,3.0,12.0,0,18,False,,
18,1,Sri Lanka,West Indies,49209,53191,Sanath Jayasuriya,2,Jerome Taylor,3.1,0.0,0.0,0.0,168.0,137.0,8.0,12.0,0,19,False,,
19,1,Sri Lanka,West Indies,49209,53191,Sanath Jayasuriya,2,Jerome Taylor,3.2,0.0,0.0,0.0,162.0,158.0,7.0,12.0,0,20,False,,
20,1,Sri Lanka,West Indies,49209,53191,Sanath Jayasuriya,2,Jerome Taylor,3.3,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,21,False,,
