,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,wicket,wicket_method,who_out
0,1,Sri Lanka,Pakistan,48472,43265,Tillakaratne Dilshan,Sohail Tanvir,0.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,False,,
1,1,Sri Lanka,Pakistan,48472,43265,Tillakaratne Dilshan,Sohail Tanvir,0.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,False,,
2,1,Sri Lanka,Pakistan,48472,43265,Tillakaratne Dilshan,Sohail Tanvir,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,False,,
3,1,Sri Lanka,Pakistan,48472,43265,Tillakaratne Dilshan,Sohail Tanvir,0.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,False,,
4,1,Sri Lanka,Pakistan,48472,43265,Tillakaratne Dilshan,Sohail Tanvir,0.2,0.0,1.0,1.0,166.0,218.0,5.0,4.0,False,,
5,1,Sri Lanka,Pakistan,48472,43265,Tillakaratne Dilshan,Sohail Tanvir,0.2,4.0,4.0,0.0,11.0,197.0,6.0,8.0,False,,
6,1,Sri Lanka,Pakistan,48472,43265,Tillakaratne Dilshan,Sohail Tanvir,0.3,1.0,1.0,0.0,209.0,207.0,4.0,9.0,False,,
7,1,Sri Lanka,Pakistan,49209,43265,Sanath Jayasuriya,Sohail Tanvir,0.4,0.0,1.0,1.0,0.0,0.0,0.0,10.0,False,,
8,1,Sri Lanka,Pakistan,49209,43265,Sanath Jayasuriya,Sohail Tanvir,0.4,4.0,4.0,0.0,348.0,220.0,3.0,14.0,False,,
9,1,Sri Lanka,Pakistan,49209,43265,Sanath Jayasuriya,Sohail Tanvir,0.5,0.0,0.0,0.0,0.0,0.0,0.0,14.0,False,,
10,1,Sri Lanka,Pakistan,49209,43265,Sanath Jayasuriya,Sohail Tanvir,0.6,4.0,4.0,0.0,109.0,24.0,8.0,18.0,False,,
11,1,Sri Lanka,Pakistan,48472,290948,Tillakaratne Dilshan,Mohammad Amir,1.1,1.0,1.0,0.0,241.0,266.0,4.0,19.0,False,,
12,1,Sri Lanka,Pakistan,49209,290948,Sanath Jayasuriya,Mohammad Amir,1.2,0.0,0.0,0.0,211.0,190.0,3.0,19.0,False,,
13,1,Sri Lanka,Pakistan,49209,290948,Sanath Jayasuriya,Mohammad Amir,1.3,0.0,0.0,0.0,222.0,174.0,3.0,19.0,False,,
14,1,Sri Lanka,Pakistan,49209,290948,Sanath Jayasuriya,Mohammad Amir,1.4,1.0,1.0,0.0,217.0,190.0,3.0,20.0,False,,
15,1,Sri Lanka,Pakistan,48472,290948,Tillakaratne Dilshan,Mohammad Amir,1.5,1.0,1.0,0.0,308.0,115.0,2.0,21.0,False,,
16,1,Sri Lanka,Pakistan,49209,290948,Sanath Jayasuriya,Mohammad Amir,1.6,0.0,0.0,0.0,194.0,186.0,4.0,21.0,False,,
17,1,Sri Lanka,Pakistan,48472,43265,Tillakaratne Dilshan,Sohail Tanvir,2.1,0.0,0.0,0.0,0.0,0.0,0.0,21.0,False,,
18,1,Sri Lanka,Pakistan,48472,43265,Tillakaratne Dilshan,Sohail Tanvir,2.2,4.0,4.0,0.0,343.0,116.0,2.0,25.0,False,,
19,1,Sri Lanka,Pakistan,48472,43265,Tillakaratne Dilshan,Sohail Tanvir,2.3,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,,
20,1,Sri Lanka,Pakistan,48472,43265,Tillakaratne Dilshan,Sohail Tanvir,2.4,0.0,1.0,1.0,113.0,147.0,7.0,26.0,False,,
21,1,Sri Lanka,Pakistan,48472,43265,Tillakaratne Dilshan,Sohail Tanvir,2.4,0.0,2.0,2.0,0.0,0.0,0.0,28.0,False,,
22,1,Sri Lanka,Pakistan,49209,43265,Sanath Jayasuriya,Sohail Tanvir,2.4,0.0,1.0,1.0,0.0,0.0,0.0,29.0,False,,
23,1,Sri Lanka,Pakistan,49209,43265,Sanath Jayasuriya,Sohail Tanvir,2.4,1.0,1.0,0.0,156.0,177.0,6.0,30.0,False,,
24,1,Sri Lanka,Pakistan,48472,43265,Tillakaratne Dilshan,Sohail Tanvir,2.5,1.0,1.0,0.0,312.0,134.0,2.0,31.0,False,,
25,1,Sri Lanka,Pakistan,49209,43265,Sanath Jayasuriya,Sohail Tanvir,2.6,1.0,1.0,0.0,138.0,185.0,6.0,32.0,False,,
26,1,Sri Lanka,Pakistan,49209,290948,Sanath Jayasuriya,Mohammad Amir,3.1,2.0,2.0,0.0,65.0,285.0,5.0,34.0,False,,
27,1,Sri Lanka,Pakistan,49209,290948,Sanath Jayasuriya,Mohammad Amir,3.2,6.0,6.0,0.0,6.0,97.0,7.0,40.0,False,,
28,1,Sri Lanka,Pakistan,49209,290948,Sanath Jayasuriya,Mohammad Amir,3.3,1.0,1.0,0.0,204.0,176.0,3.0,41.0,False,,
